Title,Year,Note
Puppylove,2013,2/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
Heavenly Creatures,1994,3/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition& 4/8 CTV_2021-02-11 - Galentines Day: Flower Eaters & Stiletto Sisters presented by @clavendr ! 👯‍♀️🌹👠
Breathe,2014,4/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
Queen of Earth,2015,5/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
Always Shine,2016,6/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
Jawbreaker,1999,7/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition& 3/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
The Bitter Tears of Petra von Kan,1972,8/8 CTV_2022-06-29 - We welcome back the amazing @eyes.of.mars to present her curation of Twisted BFFs : Part 1 - The Female Edition
Innocence,2004,"1/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
Ali: Fear Eats the Soul,1974,"2/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
The Hole,1998,"3/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression& 4/9 CTV_2022-04-13 - THE END OF THE WORLD AS WE KNOW IT.  Guest curation by Femi Adeyemi @eddie_fiction."
Wild Strawberries,1957,"4/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
Red Desert,1964,"5/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
"Jeanne Dielmann, 23 quai du Commerce, 1080 Bruxelles",1975,"6/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
One Hour Photo,2002,"7/7 CTV_2022-06-28 - Isolation, Loneliness, and Oppression"
Dr. Caligari,1989,"1/11 CTV_2022-06-24 - WTF & STUFF!& 3/7 CTV_2021-05-17 - We are excited to have artist @trenton_doyle_hancock curate 's show with a list of films that have inspired him as a visual artist! ’s theme “Trapped In A World”& 6/9 CTV_2020-07-30 - An evening of other worldly dimensions, familiar, yet born from dreams, from playful nightmares to set driven phantasmagorias."
Venus Flytrap,1987,2/11 CTV_2022-06-24 - WTF & STUFF!
Brainblast,1987,3/11 CTV_2022-06-24 - WTF & STUFF!
Neon Maniacs,1986,4/11 CTV_2022-06-24 - WTF & STUFF!& 5/9 CTV_2020-07-24 - ABSURD MAYHEM: Trash Action Schlock from the Video Bin!
Abracadabra,1986,5/11 CTV_2022-06-24 - WTF & STUFF!
Monstrosity,1987,7/11 CTV_2022-06-24 - WTF & STUFF!& 4/9 CTV_2022-01-05 - Weirdos & Outcasts!& 3/9 CTV_2021-04-23 - Freaks & Maniacs
Split,1989,8/11 CTV_2022-06-24 - WTF & STUFF!& 8/9 CTV_2020-11-19 - Video artist @jjstratford presents: “Not Quite Videodrome and other tales of Television Mind Control!” Where Subliminal meets the Sublime. Let the cathode ray tube fill your soul
Suroh: Alien Hitchhiker,1996,9/11 CTV_2022-06-24 - WTF & STUFF!
Beyond Dream’s Door,1989,10/11 CTV_2022-06-24 - WTF & STUFF!
Sons of Steel,1989,11/11 CTV_2022-06-24 - WTF & STUFF!
Litan,1982,1/7 CTV_2022-06-23 - Underrated Arthouse& 11/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 1/9 CTV_2021-10-14 - FACES OF JAIL presented by @worsethanjail
A Quiet Place in the Country,1968,2/7 CTV_2022-06-23 - Underrated Arthouse& 3/8 CTV_2021-06-23 - The Mental Vortex
Clash,1984,3/7 CTV_2022-06-23 - Underrated Arthouse
All the Colors of the Dark,1972,4/7 CTV_2022-06-23 - Underrated Arthouse
Successive Slidings of Pleasure,1974,5/7 CTV_2022-06-23 - Underrated Arthouse
City of Pirates,1983,"6/7 CTV_2022-06-23 - Underrated Arthouse& 6/7 CTV_2021-09-30 - High Art Genre: Films with a very arthouse sensibility, that happen to be ‘genre’ movies"
The Shout,1978,7/7 CTV_2022-06-23 - Underrated Arthouse& 1/6 CTV_2021-10-12 - A Haunting of Our Hearing (The Return)& 4/9 CTV_2021-09-02 - The Weirdness!& 1/6 CTV_2020-10-07 - @clavendr takes over the channel again with another amazing show she put together for us!  Give Me A Sine: A Haunting of Our Hearing.
Four Flies On Grey Velvet,1971,"1/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday& 6/7 CTV_2020-07-06 - We pay tribute to Ennio Morricone (1928-2020). One of the greatest cinematic composers of all time"
Desperate Living,1977,"2/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday& 1/10 CTV_2021-07-15 - Weird Comedies!& 7/9 CTV_2020-07-30 - An evening of other worldly dimensions, familiar, yet born from dreams, from playful nightmares to set driven phantasmagorias."
Ms. 45,1981,"3/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday& 3/8 CTV_2020-10-30 - HOUSE OF PSYCHOTIC WOMEN!  We welcome accomplished author, programmer and producer @kierlajanisse to Cathode.  We will be screening some of our favorite films from the book and will be speaking on camera with Kier-La alongside actor @alexessoe (Starry Eyes, Doctor Sleep, Haunting of Bly Manor) to discuss the book and some of the films in the lineup!"
Smile,1975,"4/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday"
The Nickel Ride,1974,"5/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday"
The Times Of Harvey Milk,1984,"6/6 CTV_2022-06-22 - Revival Art House Returns! Celebrating San Francisco's Legendary Castro Theatre, which celebrates its 100th Birthday"
Voyage in Time,1983,1/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky
Solaris,1972,2/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky& 7/7 CTV_2021-11-29 - ARTHOUSE SCI-FI& 8/8 CTV_2021-03-01 - Gazing Into The Void : Lush Films Composed of Frigid Long Takes
Stalker,1979,3/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky& 8/8 CTV_2021-02-25 - Strange Realities!
Zerkalo AKA Mirror,1975,4/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky
Nostalghia,1983,5/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky& 1/7 CTV_2021-06-01 - .  Slow Cinema
The Sacrifice,1986,6/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky& 3/7 CTV_2021-08-23 - MORE Sloooow Cinema
Andrei Rublev,1966,7/7 CTV_2022-06-21 - Tarkovsky Tuesday. The films of Andrei Tarkovsky
Angus,1995,1/12 CTV_2022-06-17 - 90s Teens!
Can’t Hardly Wait,1998,2/12 CTV_2022-06-17 - 90s Teens!
Totally Fucked Up,1993,"3/12 CTV_2022-06-17 - 90s Teens!& 1/8 CTV_2021-08-18 - POST GRUNGE ANGST!& 4/9 CTV_2021-06-10 - Feral Fringe: Experimental, Erotic & Cerebral Queer Cinema!"
Disturbing Behavior,1998,4/12 CTV_2022-06-17 - 90s Teens!
Kids,1995,5/12 CTV_2022-06-17 - 90s Teens!& 4/8 CTV_2021-03-04 - Street Cinema
House Party,1990,6/12 CTV_2022-06-17 - 90s Teens!& 5/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!
Welcome to the Dollhouse,1995,7/12 CTV_2022-06-17 - 90s Teens!
Pump Up the Volume,1990,8/12 CTV_2022-06-17 - 90s Teens!
Buffy the Vampire Slayer,1992,9/12 CTV_2022-06-17 - 90s Teens!
Romeo + Juliet,1996,10/12 CTV_2022-06-17 - 90s Teens!
Hackers,1995,11/12 CTV_2022-06-17 - 90s Teens!
But I’m a Cheerleader,1999,12/12 CTV_2022-06-17 - 90s Teens!
The New Barbarians,1983,1/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan& 8/9 CTV_2020-07-24 - ABSURD MAYHEM: Trash Action Schlock from the Video Bin!
Escape From The Bronx,1983,2/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan
Warriors Of The Year 2072,1984,3/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan
2019: After The Fall Of New York,1983,4/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan& 5/7 CTV_2021-06-03 - ITALIANO APERITIVO! Curated by @theodore_ted_logan
Rats: Night Of Terror,1984,5/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan
Endgame,1983,6/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan
The Exterminators Of The Year 3000,1983,7/7 CTV_2022-06-16 - Italian Dystopia! Co-curated with the homie @theodore_ted_logan
Tender Mercies,1983,1/8 CTV_2022-06-15 - The Country Show Returns!& 2/8 CTV_2021-08-16 - The Country Show!
The Dancing Outlaw,1991,2/8 CTV_2022-06-15 - The Country Show Returns!
Rancho Deluxe,1975,3/8 CTV_2022-06-15 - The Country Show Returns!
Even Cowgirls Get The Blues,1993,4/8 CTV_2022-06-15 - The Country Show Returns!& 3/8 CTV_2021-08-16 - The Country Show!
Last Chants For A Slow Dance,1977,5/8 CTV_2022-06-15 - The Country Show Returns!& 5/8 CTV_2021-08-16 - The Country Show!& 5/8 CTV_2020-07-02 - we present a collection of rarely screened films we call…
Heartworn Highways,1976,6/8 CTV_2022-06-15 - The Country Show Returns!& 5/11 CTV_2022-04-04 - Underrated Docs!
The Electric Horseman,1979,7/8 CTV_2022-06-15 - The Country Show Returns!& 8/8 CTV_2021-08-16 - The Country Show!& 8/8 CTV_2020-10-01 - Disillusionment in the 1970’s: The American New Wave
Nashville,1975,8/8 CTV_2022-06-15 - The Country Show Returns!
The Rules Of Attraction,2002,1/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
Southland Tales,2006,2/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
Map To The Stars,2014,3/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
Bringing Out The Dead,1999,4/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
Last Embrace,1979,5/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
The Canyons,2013,6/6 CTV_2022-06-13 - Off The Radar: Underseen Films By Major Talents
10 Things I Hate About You,1999,1/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
Varsity Blues,1999,2/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
Bring It On,1999,4/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
She’s All That,1999,5/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
Never Been Kissed,1999,6/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
American Pie,1999,7/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
Drive Me Crazy,1999,8/8 CTV_2022-06-09 - 1999 QUALITY High School Entertainment
L’amour Braque,1985,1/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
Partner,1968,2/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
The Gambler,1974,3/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
Au Hasard Balthazar,1966,4/7 CTV_2022-06-08 - Dostoyevskyan Adaptations& 5/7 CTV_2020-09-22 - New Wave Heartache & Fantasy.
La Chinoise,1967,5/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
Crime and Punishment,1983,6/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
Taxi Driver,1976,7/7 CTV_2022-06-08 - Dostoyevskyan Adaptations
Crash,1996,1/7 CTV_2022-06-06 - Motor Monday!& 1/7 CTV_2020-12-03 - Soft Core Thrillers!
Spetters,1980,2/7 CTV_2022-06-06 - Motor Monday!& 1/7 CTV_2021-07-26 - Art House Monday!
Death Race 2000,1975,"3/7 CTV_2022-06-06 - Motor Monday!& 3/7 CTV_2021-04-05 - Z CHANNEL! We recreate an evening and afternoon of the glorious Z CHANNEL cable service, which played Art House and other great films in Southern California from the mid 70's to the late 80's!"
The Car,1977,4/7 CTV_2022-06-06 - Motor Monday!& 5/10 CTV_2021-02-05 - CAR CRAZE!
Roadgames,1981,5/7 CTV_2022-06-06 - Motor Monday!
The Cars That Ate Paris,1974,"6/7 CTV_2022-06-06 - Motor Monday!& 2/8 CTV_2020-08-03 - Cinema Revival House Monday!  we will be showing an eclectic mix of films shown at San Francisco's infamous Market Street Theater, STRAND THEATER. These were films shown on a Monday during the 1980's! Tune in for the Strand trailer pre-show at 8!"
Feart Vampire,1982,7/7 CTV_2022-06-06 - Motor Monday!
Edge of the Axe,1988,1/12 CTV_2022-06-03 - Masks & Mannequins
Texas Chainsaw: The Next Generation,1995,2/12 CTV_2022-06-03 - Masks & Mannequins
Tourist Trap,1979,"3/12 CTV_2022-06-03 - Masks & Mannequins& 3/9 CTV_2021-06-25 - Fucked-Up Vacations!& 2/13 CTV_2021-04-02 - Uncanny Valley Alley: Mannequins, Dolls, & Tiny Terrors!& 3/13 CTV_2020-08-21 - Uncanny Valley Alley: Mannequins, Dolls, & Tiny Terrors!"
Last House on Dead End Street,1973,4/12 CTV_2022-06-03 - Masks & Mannequins
Night Killer,1990,5/12 CTV_2022-06-03 - Masks & Mannequins& 4/9 CTV_2021-10-14 - FACES OF JAIL presented by @worsethanjail
Sledgehammer,1983,6/12 CTV_2022-06-03 - Masks & Mannequins& 9/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 4/8 CTV_2021-05-19 - We are thrilled to welcome back our pal @hamburgerlady for a special all HAUNTED HOUSE SHOW!& 7/11 CTV_2021-03-19 - DIY Masterpiece Theater!& 4/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
Lifesize,1974,7/12 CTV_2022-06-03 - Masks & Mannequins
Popcorn,1991,"8/12 CTV_2022-06-03 - Masks & Mannequins& 8/10 CTV_2021-04-09 - THEATER / THEATER (Redux), a menagerie of films within theaters!& 7/8 CTV_2020-08-07 - Horror theater THEATER, a menagerie of films within theaters. We miss going to the theater."
Private Parts,1972,9/12 CTV_2022-06-03 - Masks & Mannequins
The Killer of Dolls,1975,"10/12 CTV_2022-06-03 - Masks & Mannequins& 8/9 CTV_2021-10-14 - FACES OF JAIL presented by @worsethanjail& 6/13 CTV_2021-04-02 - Uncanny Valley Alley: Mannequins, Dolls, & Tiny Terrors!& 5/13 CTV_2020-08-21 - Uncanny Valley Alley: Mannequins, Dolls, & Tiny Terrors!"
"Alice, Sweet Alice",1976,11/12 CTV_2022-06-03 - Masks & Mannequins& 6/12 CTV_2022-01-07 - CURSED KIDS
Pin,1988,12/12 CTV_2022-06-03 - Masks & Mannequins& 1/8 CTV_2021-10-25 - The Devil Made Me Do It! Twisted movies pulled from the @telefantasystudios VHS collection curated by @jjstratford& 7/8 CTV_2020-07-31 - It’s CREATURE FEATURE FRIDAY! Strange and crazy horror from the beyond!
Swirlee,1990,1/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
The Phantom Of Regular Size,1986,2/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
Organ,1996,3/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!& 1/9 CTV_2022-03-28 - Japanese Women Filmmakers& 2/5 CTV_2021-07-08 - The Guinea Pig Films and other Japanese Body Horror/ Gore Films
ExiStenZ,1999,4/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
Possessor,2020,5/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
Society,1990,6/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!& 4/9 CTV_2021-10-18 - MORE BODY HORROR!& 2/7 CTV_2020-11-18 - BODY HORROR!
Brain Damage,1988,7/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!& 1/9 CTV_2021-10-18 - MORE BODY HORROR!
The Incredible Melting Man,1977,8/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
The Human Centipede,2010,9/9 CTV_2022-06-02 - In celebration of David Cronenberg's triumphant return to the body horror genre we are bringing back BODY HORROR: REDUX!
Office Killer,1997,"1/7 CTV_2022-06-01 - The Female Maze (Redux)& 1/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy& 4/8 CTV_2021-03-18 - The Female Maze Part III"
Looking for Mr Goodbar,1977,2/7 CTV_2022-06-01 - The Female Maze (Redux)
Female Trouble,1974,3/7 CTV_2022-06-01 - The Female Maze (Redux)& 2/9 CTV_2021-04-23 - Freaks & Maniacs& 3/8 CTV_2020-08-31 - Cinema Revival House Monday! We will be showing an eclectic mix of films shown at LA’s legendary NUART Theater. This is where Eraserhead & Pink Flamingos were put on the map! ’s show are all films that played on the calendar during the 1980’s!
The Mafu Cage,1978,"4/7 CTV_2022-06-01 - The Female Maze (Redux)& 3/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy& 1/7 CTV_2021-05-17 - We are excited to have artist @trenton_doyle_hancock curate 's show with a list of films that have inspired him as a visual artist! ’s theme “Trapped In A World”& 3/8 CTV_2020-11-23 - THE FEMALE MAZE!& 6/8 CTV_2020-08-13 - La Créature Femelle!"
Fat Girl,2001,5/7 CTV_2022-06-01 - The Female Maze (Redux)
Wanda,1970,6/7 CTV_2022-06-01 - The Female Maze (Redux)& 4/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.& 7/10 CTV_2021-06-28 - Reality Fiction:  Films that use Non-Actors to reimagine the language of cinema.& 6/8 CTV_2020-11-23 - THE FEMALE MAZE!& 4/8 CTV_2020-07-02 - we present a collection of rarely screened films we call…
The Bitter Tears of Petra von Kant,1972,7/7 CTV_2022-06-01 - The Female Maze (Redux)& 10/17 CTV_2022-02-24 - – Selective Service: Tales of Love and Devotion hosted by @halflightcabs
The Witches of Eastwick,1987,1/12 CTV_2022-05-27 - WITCHERY
Necromancer,1988,2/12 CTV_2022-05-27 - WITCHERY
The Craft,1996,3/12 CTV_2022-05-27 - WITCHERY& 3/10 CTV_2021-10-29 - Halloween Thriller Weekend begins with the ALL THE HITS!
Witchery,1988,4/12 CTV_2022-05-27 - WITCHERY
Psyched by the 4D Witch,1973,5/12 CTV_2022-05-27 - WITCHERY& 10/11 CTV_2021-07-09 - HORNY HORROR!
Season of the Witch aka Hungry Wives,1972,6/12 CTV_2022-05-27 - WITCHERY
"Simon, King of the Witches",1971,7/12 CTV_2022-05-27 - WITCHERY
Il Demonio,1963,8/12 CTV_2022-05-27 - WITCHERY
Poison for the Fairies,1986,9/12 CTV_2022-05-27 - WITCHERY& 10/12 CTV_2022-01-07 - CURSED KIDS
Haxan: Witchcraft Through the Ages,1922,10/12 CTV_2022-05-27 - WITCHERY& 10/12 CTV_2021-04-30 - The Devil’s Sauce!
The Witches,1990,11/12 CTV_2022-05-27 - WITCHERY& 1/6 CTV_2021-06-08 - Anthologies!
The Girl on the Broomstick,1972,12/12 CTV_2022-05-27 - WITCHERY& 1/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!
Toby Dammit,1968,1/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Opera,1987,2/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Death Becomes Her,1992,3/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Last Night,1998,4/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Girly,1970,5/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Mauvais Sang,1986,6/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
"Je Taime, Je Taime",1968,7/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Super Mario Bros.,1993,8/8 CTV_2022-05-26 - We welcome artist @jessicagabriellart to curate a list of her personal favorites——and it’s a VIBE!
Celia,1989,1/8 CTV_2022-05-24 - Fantastic Divinations
Szamanka AKA She–shaman,1996,2/8 CTV_2022-05-24 - Fantastic Divinations
Penda’s Fen,1974,3/8 CTV_2022-05-24 - Fantastic Divinations
Kuroneko,1968,4/8 CTV_2022-05-24 - Fantastic Divinations& 8/8 CTV_2020-10-12 - Horror at the Arthouse!
Duelle,1976,5/8 CTV_2022-05-24 - Fantastic Divinations& 4/8 CTV_2022-01-17 - Mystic Art House
Ashik Kerib,1988,6/8 CTV_2022-05-24 - Fantastic Divinations
Black Moon,1975,7/8 CTV_2022-05-24 - Fantastic Divinations& 7/8 CTV_2022-01-17 - Mystic Art House& 5/10 CTV_2021-09-20 - Oneirophrenia:  Films That Exude A Dream State Atmosphere (Redux)& 5/9 CTV_2020-11-30 - Oneirophrenia:  Films That Exude A Dream State Atmosphere& 5/7 CTV_2020-07-14 - Surrealistic Circus Playground!
Viy,1967,8/8 CTV_2022-05-24 - Fantastic Divinations& 4/8 CTV_2022-02-02 - @astraleyez presents: Fantastique Fairytale Folklore Pt 2 - Gothic Tales& 6/8 CTV_2021-10-26 - ART x HORROR
Weird Science,1985,1/12 CTV_2022-05-20 - COMPUTERS
Demon Seed,1977,"2/12 CTV_2022-05-20 - COMPUTERS& 5/9 CTV_2021-05-07 - Geneva Jacuzzi's Non-Dimensional Movie Mix! Curated by our very special guest @genevaxjacuzzi !!!& 3/9 CTV_2020-08-28 - Cybertronics:  Robots, Dystopias, Computers & Techsploitation!"
